WorkOrderID,ProductID,OrderQty,StockedQty,ScrappedQty,StartDate,EndDate,DueDate,ScrapReasonID,ModifiedDate
28,767,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
29,768,13,13,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
30,770,29,29,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
31,771,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
32,772,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
33,773,17,17,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
34,774,7,7,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
35,775,22,22,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
36,776,16,16,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
37,777,23,23,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
38,778,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
39,516,120,120,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
40,517,224,224,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
41,518,98,97,1,00:00.0,00:00.0,00:00.0,7,00:00.0
42,519,18,18,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
43,717,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
44,721,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
45,722,30,30,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
46,723,11,11,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
47,724,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
48,725,44,44,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
49,726,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
50,727,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
51,729,43,43,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
52,730,19,19,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
53,731,14,14,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
54,733,46,46,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
55,734,27,27,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
56,735,11,11,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
57,736,13,13,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
58,738,29,29,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
59,739,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
60,740,17,17,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
61,741,7,7,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
62,743,16,16,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
63,744,23,23,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
64,745,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
65,747,22,22,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
66,748,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
67,806,322,322,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
68,807,138,138,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
69,810,120,117,3,00:00.0,00:00.0,00:00.0,11,00:00.0
70,811,224,224,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
71,812,98,98,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
72,813,18,18,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
73,817,120,120,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
74,818,224,224,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
75,819,98,98,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
76,820,18,18,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
77,825,120,120,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
78,826,224,224,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
79,827,98,98,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
80,828,18,18,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
81,894,460,460,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
82,945,460,460,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
83,950,322,322,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
84,951,138,138,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
85,994,224,220,4,00:00.0,00:00.0,00:00.0,14,00:00.0
86,995,98,98,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
87,996,138,138,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
88,3,4600,4600,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
89,324,1148,1148,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
90,327,574,574,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
91,328,240,236,4,00:00.0,00:00.0,00:00.0,15,00:00.0
92,329,680,680,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
93,398,460,460,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
94,399,574,574,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
95,400,448,448,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
96,401,472,472,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
97,529,460,460,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
98,532,2296,2296,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
99,533,574,574,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
100,534,574,574,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
101,802,305,305,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
102,803,118,118,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
103,804,151,151,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
104,316,1148,1148,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
105,331,1148,1148,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
106,350,574,574,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
107,531,574,574,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
108,749,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
109,750,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
110,771,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
111,778,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
112,516,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
113,519,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
114,717,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
115,718,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
116,745,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
117,748,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
118,807,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
119,810,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
120,813,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
121,817,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
122,820,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
123,825,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
124,828,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
125,894,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
126,945,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
127,951,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
128,996,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
129,3,40,40,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
130,324,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
131,327,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
132,328,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
133,329,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
134,398,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
135,399,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
136,401,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
137,529,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
138,532,16,16,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
139,533,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
140,534,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
141,804,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
142,316,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
143,331,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
144,350,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
145,531,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
146,751,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
147,752,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
148,753,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
149,764,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
150,517,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
151,519,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
152,719,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
153,720,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
154,721,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
155,727,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
156,806,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
157,807,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
158,811,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
159,813,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
160,818,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
161,820,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
162,826,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
163,828,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
164,894,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
165,945,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
166,950,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
167,951,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
168,994,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
169,996,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
170,3,50,50,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
171,324,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
172,327,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
173,329,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
174,398,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
175,399,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
176,400,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
177,401,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
178,529,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
179,532,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
180,533,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
181,534,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
182,802,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
183,804,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
184,316,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
185,331,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
186,350,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
187,531,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
188,750,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
189,753,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
190,519,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
191,718,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
192,721,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
193,807,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
194,813,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
195,820,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
196,828,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
197,894,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
198,945,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
199,951,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
200,996,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
201,3,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
202,324,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
203,327,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
204,329,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
205,398,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
206,399,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
207,401,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
208,529,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
209,532,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
210,533,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
211,534,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
212,804,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
213,316,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
214,331,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
215,350,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
216,531,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
217,749,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
218,750,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
219,753,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
220,767,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
221,517,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
222,519,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
223,717,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
224,718,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
225,721,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
226,724,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
227,806,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
228,807,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
229,811,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
230,813,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
231,818,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
232,820,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
233,826,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
234,828,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
235,894,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
236,945,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
237,950,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
238,951,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
239,994,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
240,996,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
241,3,50,50,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
242,324,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
243,327,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
244,329,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
245,398,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
246,399,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
247,400,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
248,401,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
249,529,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
250,532,20,20,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
251,533,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
252,534,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
253,802,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
254,804,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
255,316,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
256,331,10,10,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
257,350,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
258,531,5,5,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
259,749,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
260,750,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
261,751,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
262,519,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
263,717,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
264,718,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
265,719,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
266,807,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
267,813,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
268,820,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
269,828,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
270,894,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
271,945,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
272,951,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
273,996,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
274,3,40,40,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
275,324,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
276,327,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
277,329,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
278,398,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
279,399,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
280,401,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
281,529,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
282,532,16,16,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
283,533,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
284,534,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
285,804,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
286,316,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
287,331,8,8,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
288,350,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
289,531,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
290,750,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
291,751,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
292,765,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
293,517,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
294,519,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
295,718,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
296,719,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
297,722,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
298,806,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
299,807,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
300,811,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
301,813,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
302,818,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
303,820,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
304,826,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
305,828,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
306,894,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
307,945,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
308,950,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
309,951,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
310,994,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
311,996,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
312,3,30,30,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
313,324,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
314,327,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
315,329,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
316,398,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
317,399,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
318,400,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
319,401,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
320,529,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
321,532,12,12,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
322,533,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
323,534,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
324,802,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
325,804,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
326,316,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
327,331,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
328,350,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
329,531,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
330,750,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
331,765,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
332,517,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
333,519,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
334,718,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
335,722,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
336,806,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
337,807,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
338,811,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
339,813,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
340,818,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
341,820,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
342,826,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
343,828,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
344,894,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
345,945,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
346,950,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
347,951,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
348,994,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
349,996,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
350,3,30,30,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
351,324,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
352,327,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
353,329,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
354,398,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
355,399,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
356,400,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
357,401,4,4,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
358,529,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
359,532,12,12,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
360,533,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
361,534,3,3,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
362,802,1,1,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
363,804,2,2,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
364,316,6,6,0,00:00.0,00:00.0,00:00.0,NULL,00:00.0
