FK_name,Parent_table,Parent_column,Referenced_table,Referenced_column
FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID,SalesOrderDetail,SpecialOfferID,SpecialOfferProduct,SpecialOfferID
FK_EmailAddress_Person_BusinessEntityID,EmailAddress,BusinessEntityID,Person,BusinessEntityID
FK_Employee_Person_BusinessEntityID,Employee,BusinessEntityID,Person,BusinessEntityID
FK_SalesOrderHeader_Customer_CustomerID,SalesOrderHeader,CustomerID,Customer,CustomerID
FK_SalesOrderHeader_SalesPerson_SalesPersonID,SalesOrderHeader,SalesPersonID,SalesPerson,BusinessEntityID
FK_SalesOrderHeader_SalesTerritory_TerritoryID,SalesOrderHeader,TerritoryID,SalesTerritory,TerritoryID
FK_SalesOrderHeader_Address_BillToAddressID,SalesOrderHeader,BillToAddressID,Address,AddressID
FK_SalesOrderHeader_Address_ShipToAddressID,SalesOrderHeader,ShipToAddressID,Address,AddressID
FK_SalesOrderHeader_ShipMethod_ShipMethodID,SalesOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
FK_SalesOrderHeader_CreditCard_CreditCardID,SalesOrderHeader,CreditCardID,CreditCard,CreditCardID
FK_SalesOrderHeader_CurrencyRate_CurrencyRateID,SalesOrderHeader,CurrencyRateID,CurrencyRate,CurrencyRateID
FK_EmployeeDepartmentHistory_Employee_BusinessEntityID,EmployeeDepartmentHistory,BusinessEntityID,Employee,BusinessEntityID
FK_EmployeeDepartmentHistory_Department_DepartmentID,EmployeeDepartmentHistory,DepartmentID,Department,DepartmentID
FK_EmployeeDepartmentHistory_Shift_ShiftID,EmployeeDepartmentHistory,ShiftID,Shift,ShiftID
FK_EmployeePayHistory_Employee_BusinessEntityID,EmployeePayHistory,BusinessEntityID,Employee,BusinessEntityID
FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID,SalesOrderHeaderSalesReason,SalesOrderID,SalesOrderHeader,SalesOrderID
FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID,SalesOrderHeaderSalesReason,SalesReasonID,SalesReason,SalesReasonID
FK_SalesPerson_Employee_BusinessEntityID,SalesPerson,BusinessEntityID,Employee,BusinessEntityID
FK_SalesPerson_SalesTerritory_TerritoryID,SalesPerson,TerritoryID,SalesTerritory,TerritoryID
FK_JobCandidate_Employee_BusinessEntityID,JobCandidate,BusinessEntityID,Employee,BusinessEntityID
FK_Password_Person_BusinessEntityID,Password,BusinessEntityID,Person,BusinessEntityID
FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID,SalesPersonQuotaHistory,BusinessEntityID,SalesPerson,BusinessEntityID
FK_Person_BusinessEntity_BusinessEntityID,Person,BusinessEntityID,BusinessEntity,BusinessEntityID
