BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
2333,NULL,798,00:00.0,NULL,EA ,0,1,00:00.0
1240,NULL,799,00:00.0,NULL,EA ,0,1,00:00.0
450,NULL,800,00:00.0,NULL,EA ,0,1,00:00.0
92,NULL,801,00:00.0,NULL,EA ,0,1,00:00.0
1303,NULL,953,00:00.0,NULL,EA ,0,1,00:00.0
1699,NULL,954,00:00.0,NULL,EA ,0,1,00:00.0
3060,NULL,955,00:00.0,NULL,EA ,0,1,00:00.0
3326,NULL,956,00:00.0,NULL,EA ,0,1,00:00.0
2107,NULL,957,00:00.0,NULL,EA ,0,1,00:00.0
2800,NULL,958,00:00.0,NULL,EA ,0,1,00:00.0
1778,NULL,959,00:00.0,NULL,EA ,0,1,00:00.0
3102,NULL,960,00:00.0,NULL,EA ,0,1,00:00.0
2027,NULL,961,00:00.0,NULL,EA ,0,1,00:00.0
1698,NULL,962,00:00.0,NULL,EA ,0,1,00:00.0
3059,NULL,963,00:00.0,NULL,EA ,0,1,00:00.0
879,NULL,964,00:00.0,NULL,EA ,0,1,00:00.0
1789,NULL,965,00:00.0,NULL,EA ,0,1,00:00.0
3037,NULL,966,00:00.0,NULL,EA ,0,1,00:00.0
3304,NULL,967,00:00.0,NULL,EA ,0,1,00:00.0
2801,NULL,968,00:00.0,NULL,EA ,0,1,00:00.0
1779,NULL,969,00:00.0,NULL,EA ,0,1,00:00.0
419,NULL,970,00:00.0,NULL,EA ,0,1,00:00.0
73,NULL,971,00:00.0,NULL,EA ,0,1,00:00.0
1071,NULL,972,00:00.0,00:00.0,EA ,0,1,00:00.0
867,NULL,972,00:00.0,NULL,EA ,0,1,00:00.0
2993,NULL,973,00:00.0,NULL,EA ,0,1,00:00.0
33,NULL,974,00:00.0,NULL,EA ,0,1,00:00.0
829,NULL,975,00:00.0,NULL,EA ,0,1,00:00.0
2073,NULL,976,00:00.0,NULL,EA ,0,1,00:00.0
103,NULL,977,00:00.0,NULL,EA ,0,1,00:00.0
1668,NULL,978,00:00.0,NULL,EA ,0,1,00:00.0
3036,NULL,979,00:00.0,NULL,EA ,0,1,00:00.0
1641,NULL,980,00:00.0,NULL,EA ,0,1,00:00.0
392,NULL,981,00:00.0,NULL,EA ,0,1,00:00.0
51,NULL,982,00:00.0,NULL,EA ,0,1,00:00.0
850,NULL,983,00:00.0,NULL,EA ,0,1,00:00.0
1194,NULL,984,00:00.0,NULL,EA ,0,1,00:00.0
3016,NULL,985,00:00.0,NULL,EA ,0,1,00:00.0
3280,NULL,986,00:00.0,NULL,EA ,0,1,00:00.0
2782,NULL,987,00:00.0,NULL,EA ,0,1,00:00.0
2422,NULL,988,00:00.0,NULL,EA ,0,1,00:00.0
3,NULL,989,00:00.0,NULL,EA ,0,1,00:00.0
2735,NULL,990,00:00.0,NULL,EA ,0,1,00:00.0
2360,NULL,991,00:00.0,NULL,EA ,0,1,00:00.0
1262,NULL,992,00:00.0,NULL,EA ,0,1,00:00.0
481,NULL,993,00:00.0,NULL,EA ,0,1,00:00.0
809,NULL,997,00:00.0,NULL,EA ,0,1,00:00.0
2050,NULL,998,00:00.0,NULL,EA ,0,1,00:00.0
1938,NULL,999,00:00.0,00:00.0,EA ,0,1,00:00.0
1731,NULL,999,00:00.0,NULL,EA ,0,1,00:00.0
2000,3,2,00:00.0,NULL,EA ,3,10,00:00.0
1657,3,461,00:00.0,NULL,EA ,3,1,00:00.0
389,3,504,00:00.0,NULL,EA ,3,2,00:00.0
805,3,505,00:00.0,NULL,EA ,3,2,00:00.0
2433,316,486,00:00.0,NULL,EA ,4,1,00:00.0
1290,324,486,00:00.0,NULL,EA ,3,1,00:00.0
875,327,483,00:00.0,NULL,EA ,3,1,00:00.0
3337,328,482,00:00.0,NULL,EA ,3,1,00:00.0
2806,329,482,00:00.0,NULL,EA ,3,1,00:00.0
2432,330,482,00:00.0,NULL,EA ,3,1,00:00.0
1289,331,482,00:00.0,NULL,EA ,4,1,00:00.0
492,350,486,00:00.0,NULL,EA ,4,1,00:00.0
876,398,487,00:00.0,NULL,EA ,3,1,00:00.0
3338,399,485,00:00.0,NULL,EA ,3,1,00:00.0
543,400,523,00:00.0,NULL,EA ,3,1,00:00.0
2162,400,525,00:00.0,NULL,EA ,3,1,00:00.0
935,401,524,00:00.0,NULL,EA ,3,1,00:00.0
2487,401,526,00:00.0,NULL,EA ,3,1,00:00.0
2327,514,497,00:00.0,NULL,EA ,2,4,00:00.0
3138,514,528,00:00.0,NULL,EA ,2,1,00:00.0
1830,514,530,00:00.0,NULL,EA ,2,1,00:00.0
3135,514,908,00:00.0,NULL,EA ,2,1,00:00.0
1219,515,497,00:00.0,NULL,EA ,2,4,00:00.0
3400,515,528,00:00.0,NULL,EA ,2,1,00:00.0
3140,515,530,00:00.0,NULL,EA ,2,1,00:00.0
2858,515,909,00:00.0,NULL,EA ,2,1,00:00.0
386,516,497,00:00.0,NULL,EA ,2,4,00:00.0
2862,516,528,00:00.0,NULL,EA ,2,1,00:00.0
3402,516,530,00:00.0,NULL,EA ,2,1,00:00.0
1357,516,910,00:00.0,NULL,EA ,2,1,00:00.0
28,517,497,00:00.0,NULL,EA ,2,4,00:00.0
2489,517,528,00:00.0,NULL,EA ,2,1,00:00.0
2864,517,530,00:00.0,NULL,EA ,2,1,00:00.0
348,517,911,00:00.0,00:00.0,EA ,1,2,00:00.0
140,517,911,00:00.0,NULL,EA ,2,1,00:00.0
1032,518,497,00:00.0,00:00.0,EA ,1,5,00:00.0
803,518,497,00:00.0,NULL,EA ,2,4,00:00.0
1360,518,528,00:00.0,NULL,EA ,2,1,00:00.0
2491,518,530,00:00.0,NULL,EA ,2,1,00:00.0
2161,518,912,00:00.0,NULL,EA ,2,1,00:00.0
2022,519,497,00:00.0,NULL,EA ,2,4,00:00.0
546,519,528,00:00.0,NULL,EA ,2,1,00:00.0
1362,519,530,00:00.0,NULL,EA ,2,1,00:00.0
3136,519,913,00:00.0,NULL,EA ,2,1,00:00.0
1660,520,497,00:00.0,NULL,EA ,2,4,00:00.0
144,520,528,00:00.0,NULL,EA ,2,1,00:00.0
548,520,530,00:00.0,NULL,EA ,2,1,00:00.0
2859,520,914,00:00.0,NULL,EA ,2,1,00:00.0
3012,521,497,00:00.0,NULL,EA ,2,4,00:00.0
938,521,528,00:00.0,NULL,EA ,2,1,00:00.0
146,521,530,00:00.0,NULL,EA ,2,1,00:00.0
1358,521,915,00:00.0,NULL,EA ,2,1,00:00.0
3239,522,497,00:00.0,NULL,EA ,2,4,00:00.0
2165,522,528,00:00.0,NULL,EA ,2,1,00:00.0
1124,522,530,00:00.0,00:00.0,EA ,1,2,00:00.0
940,522,530,00:00.0,NULL,EA ,2,1,00:00.0
141,522,916,00:00.0,NULL,EA ,2,1,00:00.0
1288,529,477,00:00.0,NULL,EA ,3,1,00:00.0
2094,531,487,00:00.0,NULL,EA ,4,1,00:00.0
1956,532,484,00:00.0,00:00.0,EA ,2,2,00:00.0
1769,532,484,00:00.0,NULL,EA ,3,1,00:00.0
100,533,478,00:00.0,NULL,EA ,3,1,00:00.0
491,534,482,00:00.0,NULL,EA ,3,1,00:00.0
1445,680,324,00:00.0,NULL,EA ,2,2,00:00.0
1881,680,325,00:00.0,NULL,EA ,2,2,00:00.0
3453,680,326,00:00.0,NULL,EA ,2,1,00:00.0
2541,680,327,00:00.0,NULL,EA ,2,1,00:00.0
3190,680,399,00:00.0,NULL,EA ,2,1,00:00.0
1617,680,492,00:00.0,00:00.0,OZ ,1,9,00:00.0
1446,680,492,00:00.0,NULL,OZ ,2,8,00:00.0
626,680,532,00:00.0,NULL,EA ,2,4,00:00.0
987,680,533,00:00.0,NULL,EA ,2,1,00:00.0
220,680,534,00:00.0,NULL,EA ,2,1,00:00.0
219,680,804,00:00.0,NULL,EA ,2,1,00:00.0
776,706,324,00:00.0,NULL,EA ,2,2,00:00.0
1999,706,325,00:00.0,NULL,EA ,2,2,00:00.0
3482,706,326,00:00.0,NULL,EA ,2,1,00:00.0
2709,706,327,00:00.0,NULL,EA ,2,1,00:00.0
3215,706,399,00:00.0,NULL,EA ,2,1,00:00.0
777,706,493,00:00.0,NULL,OZ ,2,8,00:00.0
778,706,532,00:00.0,NULL,EA ,2,4,00:00.0
1190,706,533,00:00.0,NULL,EA ,2,1,00:00.0
779,706,534,00:00.0,NULL,EA ,2,1,00:00.0
360,706,804,00:00.0,NULL,EA ,2,1,00:00.0
1453,717,324,00:00.0,NULL,EA ,2,2,00:00.0
1887,717,325,00:00.0,NULL,EA ,2,2,00:00.0
3459,717,326,00:00.0,NULL,EA ,2,1,00:00.0
2547,717,327,00:00.0,NULL,EA ,2,1,00:00.0
3196,717,399,00:00.0,NULL,EA ,2,1,00:00.0
771,717,493,00:00.0,00:00.0,OZ ,1,9,00:00.0
636,717,493,00:00.0,NULL,OZ ,2,8,00:00.0
637,717,532,00:00.0,NULL,EA ,2,4,00:00.0
993,717,533,00:00.0,NULL,EA ,2,1,00:00.0
232,717,534,00:00.0,NULL,EA ,2,1,00:00.0
231,717,804,00:00.0,NULL,EA ,2,1,00:00.0
1449,718,324,00:00.0,NULL,EA ,2,2,00:00.0
1883,718,325,00:00.0,NULL,EA ,2,2,00:00.0
3455,718,326,00:00.0,NULL,EA ,2,1,00:00.0
2689,718,327,00:00.0,00:00.0,EA ,1,2,00:00.0
2543,718,327,00:00.0,NULL,EA ,2,1,00:00.0
3192,718,399,00:00.0,NULL,EA ,2,1,00:00.0
628,718,493,00:00.0,NULL,OZ ,2,8,00:00.0
629,718,532,00:00.0,NULL,EA ,2,4,00:00.0
989,718,533,00:00.0,NULL,EA ,2,1,00:00.0
224,718,534,00:00.0,NULL,EA ,2,1,00:00.0
223,718,804,00:00.0,NULL,EA ,2,1,00:00.0
1450,719,324,00:00.0,NULL,EA ,2,2,00:00.0
1884,719,325,00:00.0,NULL,EA ,2,2,00:00.0
3456,719,326,00:00.0,NULL,EA ,2,1,00:00.0
2544,719,327,00:00.0,NULL,EA ,2,1,00:00.0
3193,719,399,00:00.0,NULL,EA ,2,1,00:00.0
770,719,493,00:00.0,00:00.0,OZ ,1,9,00:00.0
630,719,493,00:00.0,NULL,OZ ,2,8,00:00.0
631,719,532,00:00.0,NULL,EA ,2,4,00:00.0
990,719,533,00:00.0,NULL,EA ,2,1,00:00.0
226,719,534,00:00.0,NULL,EA ,2,1,00:00.0
225,719,804,00:00.0,NULL,EA ,2,1,00:00.0
1451,720,324,00:00.0,NULL,EA ,2,2,00:00.0
1885,720,325,00:00.0,NULL,EA ,2,2,00:00.0
3457,720,326,00:00.0,NULL,EA ,2,1,00:00.0
2545,720,327,00:00.0,NULL,EA ,2,1,00:00.0
3194,720,399,00:00.0,NULL,EA ,2,1,00:00.0
632,720,493,00:00.0,NULL,OZ ,2,8,00:00.0
633,720,532,00:00.0,NULL,EA ,2,4,00:00.0
1167,720,533,00:00.0,00:00.0,EA ,1,2,00:00.0
991,720,533,00:00.0,NULL,EA ,2,1,00:00.0
228,720,534,00:00.0,NULL,EA ,2,1,00:00.0
227,720,804,00:00.0,NULL,EA ,2,1,00:00.0
1452,721,324,00:00.0,NULL,EA ,2,2,00:00.0
1886,721,325,00:00.0,NULL,EA ,2,2,00:00.0
3458,721,326,00:00.0,NULL,EA ,2,1,00:00.0
2546,721,327,00:00.0,NULL,EA ,2,1,00:00.0
3195,721,399,00:00.0,NULL,EA ,2,1,00:00.0
634,721,493,00:00.0,NULL,OZ ,2,8,00:00.0
635,721,532,00:00.0,NULL,EA ,2,4,00:00.0
992,721,533,00:00.0,NULL,EA ,2,1,00:00.0
230,721,534,00:00.0,NULL,EA ,2,1,00:00.0
229,721,804,00:00.0,NULL,EA ,2,1,00:00.0
1409,722,324,00:00.0,NULL,EA ,2,2,00:00.0
1860,722,325,00:00.0,NULL,EA ,2,2,00:00.0
3432,722,326,00:00.0,NULL,EA ,2,1,00:00.0
2520,722,327,00:00.0,NULL,EA ,2,1,00:00.0
3169,722,399,00:00.0,NULL,EA ,2,1,00:00.0
1411,722,492,00:00.0,NULL,OZ ,2,8,00:00.0
585,722,532,00:00.0,NULL,EA ,2,4,00:00.0
1151,722,533,00:00.0,00:00.0,EA ,1,2,00:00.0
966,722,533,00:00.0,NULL,EA ,2,1,00:00.0
195,722,534,00:00.0,NULL,EA ,2,1,00:00.0
1410,722,802,00:00.0,NULL,EA ,2,1,00:00.0
1412,723,324,00:00.0,NULL,EA ,2,2,00:00.0
1861,723,325,00:00.0,NULL,EA ,2,2,00:00.0
3433,723,326,00:00.0,NULL,EA ,2,1,00:00.0
2521,723,327,00:00.0,NULL,EA ,2,1,00:00.0
3170,723,399,00:00.0,NULL,EA ,2,1,00:00.0
1414,723,492,00:00.0,NULL,OZ ,2,8,00:00.0
586,723,532,00:00.0,NULL,EA ,2,4,00:00.0
967,723,533,00:00.0,NULL,EA ,2,1,00:00.0
196,723,534,00:00.0,NULL,EA ,2,1,00:00.0
1413,723,802,00:00.0,NULL,EA ,2,1,00:00.0
1602,724,324,00:00.0,00:00.0,EA ,1,3,00:00.0
1415,724,324,00:00.0,NULL,EA ,2,2,00:00.0
1862,724,325,00:00.0,NULL,EA ,2,2,00:00.0
3434,724,326,00:00.0,NULL,EA ,2,1,00:00.0
2522,724,327,00:00.0,NULL,EA ,2,1,00:00.0
3171,724,399,00:00.0,NULL,EA ,2,1,00:00.0
1417,724,492,00:00.0,NULL,OZ ,2,8,00:00.0
587,724,532,00:00.0,NULL,EA ,2,4,00:00.0
968,724,533,00:00.0,NULL,EA ,2,1,00:00.0
197,724,534,00:00.0,NULL,EA ,2,1,00:00.0
1416,724,802,00:00.0,NULL,EA ,2,1,00:00.0
1418,725,324,00:00.0,NULL,EA ,2,2,00:00.0
1863,725,325,00:00.0,NULL,EA ,2,2,00:00.0
3435,725,326,00:00.0,NULL,EA ,2,1,00:00.0
2675,725,327,00:00.0,00:00.0,EA ,1,2,00:00.0
2523,725,327,00:00.0,NULL,EA ,2,1,00:00.0
3172,725,399,00:00.0,NULL,EA ,2,1,00:00.0
588,725,493,00:00.0,NULL,OZ ,2,8,00:00.0
589,725,532,00:00.0,NULL,EA ,2,4,00:00.0
969,725,533,00:00.0,NULL,EA ,2,1,00:00.0
198,725,534,00:00.0,NULL,EA ,2,1,00:00.0
1419,725,802,00:00.0,NULL,EA ,2,1,00:00.0
1420,726,324,00:00.0,NULL,EA ,2,2,00:00.0
1864,726,325,00:00.0,NULL,EA ,2,2,00:00.0
3436,726,326,00:00.0,NULL,EA ,2,1,00:00.0
2524,726,327,00:00.0,NULL,EA ,2,1,00:00.0
3173,726,399,00:00.0,NULL,EA ,2,1,00:00.0
766,726,493,00:00.0,00:00.0,OZ ,1,9,00:00.0
590,726,493,00:00.0,NULL,OZ ,2,8,00:00.0
591,726,532,00:00.0,NULL,EA ,2,4,00:00.0
970,726,533,00:00.0,NULL,EA ,2,1,00:00.0
199,726,534,00:00.0,NULL,EA ,2,1,00:00.0
1421,726,802,00:00.0,NULL,EA ,2,1,00:00.0
1422,727,324,00:00.0,NULL,EA ,2,2,00:00.0
1865,727,325,00:00.0,NULL,EA ,2,2,00:00.0
3437,727,326,00:00.0,NULL,EA ,2,1,00:00.0
2525,727,327,00:00.0,NULL,EA ,2,1,00:00.0
3174,727,399,00:00.0,NULL,EA ,2,1,00:00.0
592,727,493,00:00.0,NULL,OZ ,2,8,00:00.0
593,727,532,00:00.0,NULL,EA ,2,4,00:00.0
1152,727,533,00:00.0,00:00.0,EA ,1,2,00:00.0
971,727,533,00:00.0,NULL,EA ,2,1,00:00.0
200,727,534,00:00.0,NULL,EA ,2,1,00:00.0
1423,727,802,00:00.0,NULL,EA ,2,1,00:00.0
1603,728,324,00:00.0,00:00.0,EA ,1,3,00:00.0
1424,728,324,00:00.0,NULL,EA ,2,2,00:00.0
1866,728,325,00:00.0,NULL,EA ,2,2,00:00.0
3438,728,326,00:00.0,NULL,EA ,2,1,00:00.0
2526,728,327,00:00.0,NULL,EA ,2,1,00:00.0
3175,728,399,00:00.0,NULL,EA ,2,1,00:00.0
594,728,493,00:00.0,NULL,OZ ,2,8,00:00.0
595,728,532,00:00.0,NULL,EA ,2,4,00:00.0
972,728,533,00:00.0,NULL,EA ,2,1,00:00.0
201,728,534,00:00.0,NULL,EA ,2,1,00:00.0
1425,728,802,00:00.0,NULL,EA ,2,1,00:00.0
1426,729,324,00:00.0,NULL,EA ,2,2,00:00.0
1867,729,325,00:00.0,NULL,EA ,2,2,00:00.0
3439,729,326,00:00.0,NULL,EA ,2,1,00:00.0
2676,729,327,00:00.0,00:00.0,EA ,1,2,00:00.0
2527,729,327,00:00.0,NULL,EA ,2,1,00:00.0
3176,729,399,00:00.0,NULL,EA ,2,1,00:00.0
596,729,493,00:00.0,NULL,OZ ,2,8,00:00.0
597,729,532,00:00.0,NULL,EA ,2,4,00:00.0
973,729,533,00:00.0,NULL,EA ,2,1,00:00.0
202,729,534,00:00.0,NULL,EA ,2,1,00:00.0
1427,729,802,00:00.0,NULL,EA ,2,1,00:00.0
1428,730,324,00:00.0,NULL,EA ,2,2,00:00.0
1868,730,325,00:00.0,NULL,EA ,2,2,00:00.0
3440,730,326,00:00.0,NULL,EA ,2,1,00:00.0
2528,730,327,00:00.0,NULL,EA ,2,1,00:00.0
3177,730,399,00:00.0,NULL,EA ,2,1,00:00.0
767,730,493,00:00.0,00:00.0,OZ ,1,9,00:00.0
598,730,493,00:00.0,NULL,OZ ,2,8,00:00.0
599,730,532,00:00.0,NULL,EA ,2,4,00:00.0
974,730,533,00:00.0,NULL,EA ,2,1,00:00.0
203,730,534,00:00.0,NULL,EA ,2,1,00:00.0
1429,730,802,00:00.0,NULL,EA ,2,1,00:00.0
1430,731,324,00:00.0,NULL,EA ,2,2,00:00.0
1869,731,325,00:00.0,NULL,EA ,2,2,00:00.0
3441,731,326,00:00.0,NULL,EA ,2,1,00:00.0
2682,731,327,00:00.0,00:00.0,EA ,1,2,00:00.0
2529,731,327,00:00.0,NULL,EA ,2,1,00:00.0
3178,731,399,00:00.0,NULL,EA ,2,1,00:00.0
601,731,493,00:00.0,NULL,OZ ,2,8,00:00.0
602,731,532,00:00.0,NULL,EA ,2,4,00:00.0
975,731,533,00:00.0,NULL,EA ,2,1,00:00.0
204,731,534,00:00.0,NULL,EA ,2,1,00:00.0
600,731,803,00:00.0,NULL,EA ,2,1,00:00.0
1431,732,324,00:00.0,NULL,EA ,2,2,00:00.0
1870,732,325,00:00.0,NULL,EA ,2,2,00:00.0
3442,732,326,00:00.0,NULL,EA ,2,1,00:00.0
2530,732,327,00:00.0,NULL,EA ,2,1,00:00.0
3179,732,399,00:00.0,NULL,EA ,2,1,00:00.0
768,732,493,00:00.0,00:00.0,OZ ,1,9,00:00.0
604,732,493,00:00.0,NULL,OZ ,2,8,00:00.0
605,732,532,00:00.0,NULL,EA ,2,4,00:00.0
976,732,533,00:00.0,NULL,EA ,2,1,00:00.0
205,732,534,00:00.0,NULL,EA ,2,1,00:00.0
603,732,803,00:00.0,NULL,EA ,2,1,00:00.0
1432,733,324,00:00.0,NULL,EA ,2,2,00:00.0
1871,733,325,00:00.0,NULL,EA ,2,2,00:00.0
3443,733,326,00:00.0,NULL,EA ,2,1,00:00.0
2531,733,327,00:00.0,NULL,EA ,2,1,00:00.0
3180,733,399,00:00.0,NULL,EA ,2,1,00:00.0
607,733,493,00:00.0,NULL,OZ ,2,8,00:00.0
608,733,532,00:00.0,NULL,EA ,2,4,00:00.0
1160,733,533,00:00.0,00:00.0,EA ,1,2,00:00.0
977,733,533,00:00.0,NULL,EA ,2,1,00:00.0
206,733,534,00:00.0,NULL,EA ,2,1,00:00.0
606,733,803,00:00.0,NULL,EA ,2,1,00:00.0
1611,734,324,00:00.0,00:00.0,EA ,1,3,00:00.0
1433,734,324,00:00.0,NULL,EA ,2,2,00:00.0
1872,734,325,00:00.0,NULL,EA ,2,2,00:00.0
3444,734,326,00:00.0,NULL,EA ,2,1,00:00.0
2532,734,327,00:00.0,NULL,EA ,2,1,00:00.0
3181,734,399,00:00.0,NULL,EA ,2,1,00:00.0
610,734,493,00:00.0,NULL,OZ ,2,8,00:00.0
611,734,532,00:00.0,NULL,EA ,2,4,00:00.0
978,734,533,00:00.0,NULL,EA ,2,1,00:00.0
207,734,534,00:00.0,NULL,EA ,2,1,00:00.0
609,734,803,00:00.0,NULL,EA ,2,1,00:00.0
1434,735,324,00:00.0,NULL,EA ,2,2,00:00.0
1873,735,325,00:00.0,NULL,EA ,2,2,00:00.0
3445,735,326,00:00.0,NULL,EA ,2,1,00:00.0
2683,735,327,00:00.0,00:00.0,EA ,1,2,00:00.0
2533,735,327,00:00.0,NULL,EA ,2,1,00:00.0
3182,735,399,00:00.0,NULL,EA ,2,1,00:00.0
613,735,493,00:00.0,NULL,OZ ,2,8,00:00.0
614,735,532,00:00.0,NULL,EA ,2,4,00:00.0
979,735,533,00:00.0,NULL,EA ,2,1,00:00.0
208,735,534,00:00.0,NULL,EA ,2,1,00:00.0
612,735,803,00:00.0,NULL,EA ,2,1,00:00.0
1400,736,324,00:00.0,NULL,EA ,2,2,00:00.0
1857,736,325,00:00.0,NULL,EA ,2,2,00:00.0
3429,736,326,00:00.0,NULL,EA ,2,1,00:00.0
2517,736,327,00:00.0,NULL,EA ,2,1,00:00.0
3166,736,399,00:00.0,NULL,EA ,2,1,00:00.0
1402,736,492,00:00.0,NULL,OZ ,2,8,00:00.0
582,736,532,00:00.0,NULL,EA ,2,4,00:00.0
963,736,533,00:00.0,NULL,EA ,2,1,00:00.0
192,736,534,00:00.0,NULL,EA ,2,1,00:00.0
1401,736,802,00:00.0,NULL,EA ,2,1,00:00.0
1600,737,324,00:00.0,00:00.0,EA ,1,3,00:00.0
1403,737,324,00:00.0,NULL,EA ,2,2,00:00.0
1858,737,325,00:00.0,NULL,EA ,2,2,00:00.0
3430,737,326,00:00.0,NULL,EA ,2,1,00:00.0
2518,737,327,00:00.0,NULL,EA ,2,1,00:00.0
3167,737,399,00:00.0,NULL,EA ,2,1,00:00.0
1405,737,492,00:00.0,NULL,OZ ,2,8,00:00.0
583,737,532,00:00.0,NULL,EA ,2,4,00:00.0
964,737,533,00:00.0,NULL,EA ,2,1,00:00.0
193,737,534,00:00.0,NULL,EA ,2,1,00:00.0
1404,737,802,00:00.0,NULL,EA ,2,1,00:00.0
1406,738,324,00:00.0,NULL,EA ,2,2,00:00.0
1859,738,325,00:00.0,NULL,EA ,2,2,00:00.0
3431,738,326,00:00.0,NULL,EA ,2,1,00:00.0
2674,738,327,00:00.0,00:00.0,EA ,1,2,00:00.0
2519,738,327,00:00.0,NULL,EA ,2,1,00:00.0
3168,738,399,00:00.0,NULL,EA ,2,1,00:00.0
1408,738,492,00:00.0,NULL,OZ ,2,8,00:00.0
584,738,532,00:00.0,NULL,EA ,2,4,00:00.0
965,738,533,00:00.0,NULL,EA ,2,1,00:00.0
194,738,534,00:00.0,NULL,EA ,2,1,00:00.0
1407,738,802,00:00.0,NULL,EA ,2,1,00:00.0
1396,739,324,00:00.0,NULL,EA ,2,2,00:00.0
1853,739,325,00:00.0,NULL,EA ,2,2,00:00.0
3425,739,326,00:00.0,NULL,EA ,2,1,00:00.0
2513,739,327,00:00.0,NULL,EA ,2,1,00:00.0
3162,739,399,00:00.0,NULL,EA ,2,1,00:00.0
181,739,494,00:00.0,NULL,OZ ,2,8,00:00.0
578,739,532,00:00.0,NULL,EA ,2,4,00:00.0
1145,739,533,00:00.0,00:00.0,EA ,1,2,00:00.0
959,739,533,00:00.0,NULL,EA ,2,1,00:00.0
182,739,534,00:00.0,NULL,EA ,2,1,00:00.0
180,739,804,00:00.0,NULL,EA ,2,1,00:00.0
1397,740,324,00:00.0,NULL,EA ,2,2,00:00.0
1854,740,325,00:00.0,NULL,EA ,2,2,00:00.0
3426,740,326,00:00.0,NULL,EA ,2,1,00:00.0
2514,740,327,00:00.0,NULL,EA ,2,1,00:00.0
3163,740,399,00:00.0,NULL,EA ,2,1,00:00.0
