SalesOrderID,SalesReasonID,ModifiedDate
43798,9,00:00.0
43799,5,00:00.0
43799,9,00:00.0
43800,5,00:00.0
43800,9,00:00.0
43801,5,00:00.0
43801,9,00:00.0
43802,5,00:00.0
43802,9,00:00.0
43803,5,00:00.0
43803,9,00:00.0
43804,5,00:00.0
43804,9,00:00.0
43806,5,00:00.0
43806,9,00:00.0
43807,5,00:00.0
43807,9,00:00.0
43808,5,00:00.0
43808,9,00:00.0
43809,5,00:00.0
43809,9,00:00.0
43812,5,00:00.0
43812,9,00:00.0
43815,5,00:00.0
43815,9,00:00.0
43816,5,00:00.0
43816,9,00:00.0
43817,5,00:00.0
43817,9,00:00.0
43818,5,00:00.0
43818,9,00:00.0
43820,5,00:00.0
43820,9,00:00.0
43821,5,00:00.0
43821,9,00:00.0
43822,5,00:00.0
43822,9,00:00.0
43825,5,00:00.0
43825,9,00:00.0
43828,5,00:00.0
43828,9,00:00.0
43829,5,00:00.0
43829,9,00:00.0
43830,5,00:00.0
43830,9,00:00.0
43832,5,00:00.0
43832,9,00:00.0
43833,5,00:00.0
43833,9,00:00.0
43838,5,00:00.0
43838,9,00:00.0
43839,5,00:00.0
43839,9,00:00.0
43841,5,00:00.0
43841,9,00:00.0
43842,5,00:00.0
43842,9,00:00.0
43918,5,00:00.0
43918,9,00:00.0
43919,5,00:00.0
43919,9,00:00.0
43920,5,00:00.0
43920,9,00:00.0
43921,5,00:00.0
43921,9,00:00.0
43922,5,00:00.0
43922,9,00:00.0
43923,5,00:00.0
43923,9,00:00.0
43924,5,00:00.0
43924,9,00:00.0
43925,5,00:00.0
43925,9,00:00.0
43927,5,00:00.0
43927,9,00:00.0
43928,5,00:00.0
43928,9,00:00.0
43930,5,00:00.0
43930,9,00:00.0
43931,5,00:00.0
43931,9,00:00.0
43932,5,00:00.0
43932,9,00:00.0
43936,5,00:00.0
43936,9,00:00.0
43937,5,00:00.0
43937,9,00:00.0
43938,5,00:00.0
43938,9,00:00.0
43939,5,00:00.0
43939,9,00:00.0
43941,5,00:00.0
43941,9,00:00.0
43942,5,00:00.0
43942,9,00:00.0
43945,5,00:00.0
43945,9,00:00.0
43946,5,00:00.0
43946,9,00:00.0
43947,5,00:00.0
43947,9,00:00.0
43949,5,00:00.0
43949,9,00:00.0
43950,5,00:00.0
43950,9,00:00.0
43951,5,00:00.0
43951,9,00:00.0
43952,5,00:00.0
43952,9,00:00.0
43954,5,00:00.0
43954,9,00:00.0
43955,5,00:00.0
43955,9,00:00.0
43957,5,00:00.0
43957,9,00:00.0
43958,5,00:00.0
43958,9,00:00.0
43961,5,00:00.0
43961,9,00:00.0
43962,5,00:00.0
43962,9,00:00.0
43963,5,00:00.0
43963,9,00:00.0
43964,5,00:00.0
43964,9,00:00.0
43967,5,00:00.0
43967,9,00:00.0
43968,5,00:00.0
43968,9,00:00.0
43969,5,00:00.0
43969,9,00:00.0
43970,5,00:00.0
43970,9,00:00.0
43971,5,00:00.0
43971,9,00:00.0
43972,5,00:00.0
43972,9,00:00.0
43973,5,00:00.0
43973,9,00:00.0
43974,5,00:00.0
43974,9,00:00.0
43975,5,00:00.0
43975,9,00:00.0
43976,5,00:00.0
43976,9,00:00.0
43977,5,00:00.0
43977,9,00:00.0
43978,5,00:00.0
43978,9,00:00.0
43981,5,00:00.0
43981,9,00:00.0
43983,5,00:00.0
43983,9,00:00.0
43984,5,00:00.0
43984,9,00:00.0
43985,5,00:00.0
43985,9,00:00.0
43986,5,00:00.0
43986,9,00:00.0
43987,5,00:00.0
43987,9,00:00.0
43989,5,00:00.0
43989,9,00:00.0
43991,5,00:00.0
43991,9,00:00.0
43992,5,00:00.0
43992,9,00:00.0
43993,5,00:00.0
43993,9,00:00.0
43994,5,00:00.0
43994,9,00:00.0
43995,5,00:00.0
43995,9,00:00.0
43996,5,00:00.0
43996,9,00:00.0
43997,5,00:00.0
43997,9,00:00.0
43999,5,00:00.0
43999,9,00:00.0
44000,5,00:00.0
44000,9,00:00.0
44001,5,00:00.0
44001,9,00:00.0
44004,5,00:00.0
44004,9,00:00.0
44006,5,00:00.0
44006,9,00:00.0
44008,5,00:00.0
44008,9,00:00.0
44009,5,00:00.0
44009,9,00:00.0
44010,5,00:00.0
44010,9,00:00.0
44011,5,00:00.0
44011,9,00:00.0
44013,5,00:00.0
44013,9,00:00.0
44014,5,00:00.0
44014,9,00:00.0
44015,5,00:00.0
44015,9,00:00.0
44017,5,00:00.0
44017,9,00:00.0
44019,5,00:00.0
44019,9,00:00.0
44020,5,00:00.0
44020,9,00:00.0
44022,5,00:00.0
44022,9,00:00.0
44024,5,00:00.0
44024,9,00:00.0
44025,5,00:00.0
44025,9,00:00.0
44026,5,00:00.0
44026,9,00:00.0
44027,5,00:00.0
44027,9,00:00.0
44028,5,00:00.0
44028,9,00:00.0
44030,5,00:00.0
44030,9,00:00.0
44031,5,00:00.0
44031,9,00:00.0
44033,5,00:00.0
44033,9,00:00.0
44034,5,00:00.0
44034,9,00:00.0
44035,5,00:00.0
44035,9,00:00.0
44036,5,00:00.0
44036,9,00:00.0
44041,5,00:00.0
44041,9,00:00.0
44042,5,00:00.0
44042,9,00:00.0
44043,5,00:00.0
44043,9,00:00.0
44044,5,00:00.0
44044,9,00:00.0
44046,5,00:00.0
44046,9,00:00.0
44048,5,00:00.0
44048,9,00:00.0
44049,5,00:00.0
44049,9,00:00.0
44050,5,00:00.0
44050,9,00:00.0
44051,5,00:00.0
44051,9,00:00.0
44052,5,00:00.0
44052,9,00:00.0
44054,5,00:00.0
44054,9,00:00.0
44055,5,00:00.0
44055,9,00:00.0
44056,5,00:00.0
44056,9,00:00.0
44059,5,00:00.0
44059,9,00:00.0
44061,5,00:00.0
44061,9,00:00.0
44062,5,00:00.0
44062,9,00:00.0
44064,5,00:00.0
44064,9,00:00.0
44065,5,00:00.0
44065,9,00:00.0
44067,5,00:00.0
44067,9,00:00.0
44068,5,00:00.0
44068,9,00:00.0
44071,5,00:00.0
44071,9,00:00.0
44072,5,00:00.0
44072,9,00:00.0
44134,5,00:00.0
44134,9,00:00.0
44135,5,00:00.0
44135,9,00:00.0
44136,5,00:00.0
44136,9,00:00.0
44137,5,00:00.0
44137,9,00:00.0
44138,5,00:00.0
44138,9,00:00.0
44139,5,00:00.0
44139,9,00:00.0
44140,5,00:00.0
44140,9,00:00.0
44141,5,00:00.0
44141,9,00:00.0
44142,5,00:00.0
44142,9,00:00.0
44143,5,00:00.0
44143,9,00:00.0
44144,5,00:00.0
44144,9,00:00.0
44145,5,00:00.0
44145,9,00:00.0
44146,5,00:00.0
44146,9,00:00.0
44147,5,00:00.0
44147,9,00:00.0
44148,5,00:00.0
44148,9,00:00.0
44149,5,00:00.0
44149,9,00:00.0
44150,5,00:00.0
44150,9,00:00.0
44153,5,00:00.0
44153,9,00:00.0
44154,5,00:00.0
44154,9,00:00.0
44155,5,00:00.0
44155,9,00:00.0
44157,5,00:00.0
44157,9,00:00.0
44158,5,00:00.0
44158,9,00:00.0
44159,5,00:00.0
44159,9,00:00.0
44160,5,00:00.0
44160,9,00:00.0
44161,5,00:00.0
44161,9,00:00.0
44162,5,00:00.0
44162,9,00:00.0
44163,5,00:00.0
44163,9,00:00.0
44164,5,00:00.0
44164,9,00:00.0
44165,5,00:00.0
44165,9,00:00.0
44167,5,00:00.0
44167,9,00:00.0
44168,5,00:00.0
44168,9,00:00.0
44169,5,00:00.0
44169,9,00:00.0
44170,5,00:00.0
44170,9,00:00.0
44171,5,00:00.0
44171,9,00:00.0
44173,5,00:00.0
44173,9,00:00.0
44174,5,00:00.0
44174,9,00:00.0
44175,5,00:00.0
44175,9,00:00.0
44176,5,00:00.0
44176,9,00:00.0
44178,5,00:00.0
44178,9,00:00.0
44181,5,00:00.0
44181,9,00:00.0
44182,5,00:00.0
44182,9,00:00.0
44183,5,00:00.0
44183,9,00:00.0
44184,5,00:00.0
44184,9,00:00.0
44185,5,00:00.0
44185,9,00:00.0
44187,5,00:00.0
44187,9,00:00.0
44191,5,00:00.0
44191,9,00:00.0
44192,5,00:00.0
44192,9,00:00.0
44193,5,00:00.0
44193,9,00:00.0
44194,5,00:00.0
44194,9,00:00.0
44195,5,00:00.0
44195,9,00:00.0
44196,5,00:00.0
44196,9,00:00.0
44197,5,00:00.0
44197,9,00:00.0
44198,5,00:00.0
44198,9,00:00.0
44199,5,00:00.0
44199,9,00:00.0
44200,5,00:00.0
44200,9,00:00.0
44201,5,00:00.0
44201,9,00:00.0
44202,5,00:00.0
44202,9,00:00.0
44203,5,00:00.0
44203,9,00:00.0
44205,5,00:00.0
44205,9,00:00.0
44207,5,00:00.0
44207,9,00:00.0
44209,5,00:00.0
44209,9,00:00.0
44210,5,00:00.0
44210,9,00:00.0
44211,5,00:00.0
44211,9,00:00.0
44212,5,00:00.0
44212,9,00:00.0
44213,5,00:00.0
44213,9,00:00.0
44214,5,00:00.0
44214,9,00:00.0
44215,5,00:00.0
44215,9,00:00.0
44216,5,00:00.0
44216,9,00:00.0
44217,5,00:00.0
44217,9,00:00.0
44218,5,00:00.0
44218,9,00:00.0
44221,5,00:00.0
44221,9,00:00.0
44222,5,00:00.0
44222,9,00:00.0
44223,5,00:00.0
44223,9,00:00.0
44224,5,00:00.0
44224,9,00:00.0
44226,5,00:00.0
44226,9,00:00.0
44230,5,00:00.0
44230,9,00:00.0
44232,5,00:00.0
44232,9,00:00.0
44233,5,00:00.0
44233,9,00:00.0
44234,5,00:00.0
44234,9,00:00.0
44235,5,00:00.0
44235,9,00:00.0
44236,5,00:00.0
44236,9,00:00.0
44237,5,00:00.0
44237,9,00:00.0
44238,5,00:00.0
44238,9,00:00.0
44239,5,00:00.0
44239,9,00:00.0
44240,5,00:00.0
44240,9,00:00.0
44241,5,00:00.0
44241,9,00:00.0
44242,5,00:00.0
44242,9,00:00.0
44243,5,00:00.0
44243,9,00:00.0
44244,5,00:00.0
44244,9,00:00.0
44246,5,00:00.0
44246,9,00:00.0
44247,5,00:00.0
44247,9,00:00.0
44248,5,00:00.0
44248,9,00:00.0
44249,5,00:00.0
44249,9,00:00.0
44250,5,00:00.0
44250,9,00:00.0
44251,5,00:00.0
44251,9,00:00.0
44252,5,00:00.0
44252,9,00:00.0
44253,5,00:00.0
44253,9,00:00.0
44254,5,00:00.0
44254,9,00:00.0
44256,5,00:00.0
44256,9,00:00.0
44257,5,00:00.0
44257,9,00:00.0
44258,5,00:00.0
44258,9,00:00.0
44259,5,00:00.0
44259,9,00:00.0
44260,5,00:00.0
44260,9,00:00.0
44261,5,00:00.0
44261,9,00:00.0
44263,5,00:00.0
44263,9,00:00.0
44264,5,00:00.0
44264,9,00:00.0
44268,5,00:00.0
44268,9,00:00.0
44270,5,00:00.0
44270,9,00:00.0
44271,5,00:00.0
44271,9,00:00.0
44272,5,00:00.0
44272,9,00:00.0
44273,5,00:00.0
44273,9,00:00.0
44274,5,00:00.0
44274,9,00:00.0
44275,5,00:00.0
44275,9,00:00.0
44276,5,00:00.0
44276,9,00:00.0
44277,5,00:00.0
44277,9,00:00.0
44278,5,00:00.0
44278,9,00:00.0
44279,5,00:00.0
44279,9,00:00.0
44320,5,00:00.0
44320,9,00:00.0
44321,5,00:00.0
44321,9,00:00.0
44324,5,00:00.0
44324,9,00:00.0
44326,5,00:00.0
44326,9,00:00.0
44327,5,00:00.0
44327,9,00:00.0
44328,5,00:00.0
44328,9,00:00.0
44329,5,00:00.0
44329,9,00:00.0
44330,5,00:00.0
44330,9,00:00.0
44331,5,00:00.0
44331,9,00:00.0
44332,5,00:00.0
44332,9,00:00.0
44334,5,00:00.0
44334,9,00:00.0
44338,5,00:00.0
44338,9,00:00.0
44339,5,00:00.0
44339,9,00:00.0
44340,5,00:00.0
44340,9,00:00.0
44343,5,00:00.0
44343,9,00:00.0
44344,5,00:00.0
44344,9,00:00.0
44345,5,00:00.0
44345,9,00:00.0
44347,5,00:00.0
44347,9,00:00.0
44348,5,00:00.0
44348,9,00:00.0
44349,5,00:00.0
44349,9,00:00.0
44350,5,00:00.0
44350,9,00:00.0
44351,5,00:00.0
44351,9,00:00.0
44352,5,00:00.0
44352,9,00:00.0
44357,5,00:00.0
44357,9,00:00.0
44358,5,00:00.0
44358,9,00:00.0
44359,5,00:00.0
44359,9,00:00.0
44360,5,00:00.0
44360,9,00:00.0
44361,5,00:00.0
44361,9,00:00.0
44362,5,00:00.0
44362,9,00:00.0
44363,5,00:00.0
44363,9,00:00.0
44365,5,00:00.0
44365,9,00:00.0
44366,5,00:00.0
44366,9,00:00.0
44368,5,00:00.0
44368,9,00:00.0
44369,5,00:00.0
44369,9,00:00.0
44370,5,00:00.0
44370,9,00:00.0
44371,5,00:00.0
44371,9,00:00.0
44372,5,00:00.0
44372,9,00:00.0
44373,5,00:00.0
44373,9,00:00.0
44374,5,00:00.0
44374,9,00:00.0
44375,5,00:00.0
44375,9,00:00.0
44377,5,00:00.0
44377,9,00:00.0
44380,5,00:00.0
44380,9,00:00.0
44381,5,00:00.0
44381,9,00:00.0
44383,5,00:00.0
44383,9,00:00.0
44384,5,00:00.0
44384,9,00:00.0
44385,5,00:00.0
44385,9,00:00.0
44386,5,00:00.0
44386,9,00:00.0
44388,5,00:00.0
44388,9,00:00.0
44389,5,00:00.0
44389,9,00:00.0
44390,5,00:00.0
44390,9,00:00.0
44391,5,00:00.0
44391,9,00:00.0
44392,5,00:00.0
44392,9,00:00.0
44394,5,00:00.0
44394,9,00:00.0
44395,5,00:00.0
44395,9,00:00.0
44398,5,00:00.0
44398,9,00:00.0
44399,5,00:00.0
44399,9,00:00.0
44400,5,00:00.0
44400,9,00:00.0
44401,5,00:00.0
44401,9,00:00.0
44402,5,00:00.0
44402,9,00:00.0
44404,5,00:00.0
44404,9,00:00.0
44405,5,00:00.0
44405,9,00:00.0
44406,5,00:00.0
44406,9,00:00.0
44410,5,00:00.0
44410,9,00:00.0
44411,5,00:00.0
44411,9,00:00.0
44413,5,00:00.0
44413,9,00:00.0
44414,5,00:00.0
44414,9,00:00.0
44415,5,00:00.0
44415,9,00:00.0
44417,5,00:00.0
44417,9,00:00.0
44418,5,00:00.0
44418,9,00:00.0
44419,5,00:00.0
44419,9,00:00.0
44420,5,00:00.0
44420,9,00:00.0
44421,5,00:00.0
44421,9,00:00.0
44423,5,00:00.0
44423,9,00:00.0
44424,5,00:00.0
44424,9,00:00.0
44425,5,00:00.0
44425,9,00:00.0
44426,5,00:00.0
44426,9,00:00.0
44427,5,00:00.0
44427,9,00:00.0
44428,5,00:00.0
44428,9,00:00.0
44429,5,00:00.0
44429,9,00:00.0
44430,5,00:00.0
44430,9,00:00.0
44431,5,00:00.0
44431,9,00:00.0
44432,5,00:00.0
44432,9,00:00.0
44433,5,00:00.0
44433,9,00:00.0
44434,5,00:00.0
44434,9,00:00.0
44435,5,00:00.0
44435,9,00:00.0
44438,5,00:00.0
44438,9,00:00.0
44439,5,00:00.0
44439,9,00:00.0
44440,5,00:00.0
44440,9,00:00.0
44441,5,00:00.0
44441,9,00:00.0
44443,5,00:00.0
44443,9,00:00.0
44444,5,00:00.0
44444,9,00:00.0
44445,5,00:00.0
44445,9,00:00.0
44446,5,00:00.0
44446,9,00:00.0
44447,5,00:00.0
44447,9,00:00.0
44448,5,00:00.0
44448,9,00:00.0
44449,5,00:00.0
44449,9,00:00.0
44450,5,00:00.0
44450,9,00:00.0
44451,5,00:00.0
44451,9,00:00.0
44453,5,00:00.0
44453,9,00:00.0
44454,5,00:00.0
44454,9,00:00.0
44455,5,00:00.0
44455,9,00:00.0
44457,5,00:00.0
44457,9,00:00.0
44458,5,00:00.0
44458,9,00:00.0
44459,5,00:00.0
44459,9,00:00.0
44461,5,00:00.0
44461,9,00:00.0
44462,5,00:00.0
44462,9,00:00.0
44464,5,00:00.0
44464,9,00:00.0
44469,5,00:00.0
44469,9,00:00.0
44470,5,00:00.0
44470,9,00:00.0
44472,5,00:00.0
44472,9,00:00.0
44473,5,00:00.0
44473,9,00:00.0
44476,5,00:00.0
44476,9,00:00.0
44477,5,00:00.0
44477,9,00:00.0
44478,5,00:00.0
44478,9,00:00.0
44572,5,00:00.0
44572,9,00:00.0
44576,5,00:00.0
44576,9,00:00.0
44577,5,00:00.0
44577,9,00:00.0
44578,5,00:00.0
44578,9,00:00.0
44579,5,00:00.0
44579,9,00:00.0
44580,5,00:00.0
44580,9,00:00.0
44583,5,00:00.0
44583,9,00:00.0
44584,5,00:00.0
44584,9,00:00.0
44585,5,00:00.0
44585,9,00:00.0
44586,5,00:00.0
44586,9,00:00.0
44587,5,00:00.0
44587,9,00:00.0
44590,5,00:00.0
44590,9,00:00.0
44592,5,00:00.0
44592,9,00:00.0
44593,5,00:00.0
44593,9,00:00.0
44594,5,00:00.0
44594,9,00:00.0
44596,5,00:00.0
44596,9,00:00.0
44597,5,00:00.0
44597,9,00:00.0
44599,5,00:00.0
44599,9,00:00.0
44600,5,00:00.0
44600,9,00:00.0
44602,5,00:00.0
44602,9,00:00.0
44605,5,00:00.0
44605,9,00:00.0
44606,5,00:00.0
44606,9,00:00.0
44607,5,00:00.0
44607,9,00:00.0
44608,5,00:00.0
44608,9,00:00.0
44609,5,00:00.0
44609,9,00:00.0
44610,5,00:00.0
44610,9,00:00.0
44611,5,00:00.0
44611,9,00:00.0
44612,5,00:00.0
44612,9,00:00.0
44613,5,00:00.0
44613,9,00:00.0
44614,5,00:00.0
44614,9,00:00.0
44615,5,00:00.0
44615,9,00:00.0
44616,5,00:00.0
44616,9,00:00.0
44617,5,00:00.0
44617,9,00:00.0
44618,5,00:00.0
44618,9,00:00.0
44619,5,00:00.0
44619,9,00:00.0
44620,5,00:00.0
44620,9,00:00.0
44621,5,00:00.0
44621,9,00:00.0
44622,5,00:00.0
44622,9,00:00.0
44623,5,00:00.0
44623,9,00:00.0
44625,5,00:00.0
44625,9,00:00.0
44626,5,00:00.0
44626,9,00:00.0
44629,5,00:00.0
44629,9,00:00.0
44630,5,00:00.0
44630,9,00:00.0
44631,5,00:00.0
44631,9,00:00.0
44632,5,00:00.0
44632,9,00:00.0
44633,5,00:00.0
44633,9,00:00.0
44634,5,00:00.0
44634,9,00:00.0
44635,5,00:00.0
44635,9,00:00.0
44636,5,00:00.0
44636,9,00:00.0
44637,5,00:00.0
44637,9,00:00.0
44638,5,00:00.0
44638,9,00:00.0
44640,5,00:00.0
44640,9,00:00.0
44641,5,00:00.0
44641,9,00:00.0
44643,5,00:00.0
44643,9,00:00.0
44644,5,00:00.0
44644,9,00:00.0
44647,5,00:00.0
44647,9,00:00.0
44651,5,00:00.0
44651,9,00:00.0
44654,5,00:00.0
44654,9,00:00.0
44656,5,00:00.0
44656,9,00:00.0
44658,5,00:00.0
44658,9,00:00.0
44659,5,00:00.0
44659,9,00:00.0
44660,5,00:00.0
44660,9,00:00.0
44663,5,00:00.0
44663,9,00:00.0
44664,5,00:00.0
44664,9,00:00.0
44666,5,00:00.0
44666,9,00:00.0
44667,5,00:00.0
44667,9,00:00.0
44668,5,00:00.0
44668,9,00:00.0
44670,5,00:00.0
44670,9,00:00.0
44671,5,00:00.0
44671,9,00:00.0
44672,5,00:00.0
44672,9,00:00.0
44673,5,00:00.0
44673,9,00:00.0
44674,5,00:00.0
44674,9,00:00.0
44676,5,00:00.0
44676,9,00:00.0
44677,5,00:00.0
44677,9,00:00.0
44678,5,00:00.0
44678,9,00:00.0
44680,5,00:00.0
44680,9,00:00.0
44682,5,00:00.0
44682,9,00:00.0
44683,5,00:00.0
44683,9,00:00.0
44684,5,00:00.0
44684,9,00:00.0
44685,5,00:00.0
44685,9,00:00.0
44686,5,00:00.0
44686,9,00:00.0
44688,5,00:00.0
44688,9,00:00.0
44689,5,00:00.0
44689,9,00:00.0
44692,5,00:00.0
44692,9,00:00.0
44693,5,00:00.0
44693,9,00:00.0
44694,5,00:00.0
44694,9,00:00.0
44696,5,00:00.0
44696,9,00:00.0
44697,5,00:00.0
44697,9,00:00.0
44699,5,00:00.0
44699,9,00:00.0
44700,5,00:00.0
44700,9,00:00.0
44702,5,00:00.0
44702,9,00:00.0
44703,5,00:00.0
44703,9,00:00.0
44705,5,00:00.0
44705,9,00:00.0
44706,5,00:00.0
44706,9,00:00.0
44707,5,00:00.0
44707,9,00:00.0
44709,5,00:00.0
44709,9,00:00.0
44710,5,00:00.0
44710,9,00:00.0
44711,5,00:00.0
44711,9,00:00.0
44713,5,00:00.0
44713,9,00:00.0
44714,5,00:00.0
44714,9,00:00.0
44715,5,00:00.0
44715,9,00:00.0
44716,5,00:00.0
44716,9,00:00.0
44718,5,00:00.0
44718,9,00:00.0
44719,5,00:00.0
44719,9,00:00.0
44720,5,00:00.0
44720,9,00:00.0
44722,5,00:00.0
44722,9,00:00.0
44724,5,00:00.0
44724,9,00:00.0
44727,5,00:00.0
44727,9,00:00.0
44729,5,00:00.0
44729,9,00:00.0
44730,5,00:00.0
44730,9,00:00.0
44731,5,00:00.0
44731,9,00:00.0
44732,5,00:00.0
44732,9,00:00.0
44733,5,00:00.0
44733,9,00:00.0
44734,5,00:00.0
44734,9,00:00.0
44735,5,00:00.0
44735,9,00:00.0
44737,5,00:00.0
44737,9,00:00.0
44738,5,00:00.0
44738,9,00:00.0
44739,5,00:00.0
44739,9,00:00.0
44803,5,00:00.0
44803,9,00:00.0
44804,5,00:00.0
44804,9,00:00.0
44805,5,00:00.0
44805,9,00:00.0
44806,5,00:00.0
44806,9,00:00.0
44808,5,00:00.0
44808,9,00:00.0
44810,5,00:00.0
44810,9,00:00.0
44811,5,00:00.0
44811,9,00:00.0
44812,5,00:00.0
44812,9,00:00.0
44813,5,00:00.0
44813,9,00:00.0
44814,5,00:00.0
44814,9,00:00.0
44816,5,00:00.0
44816,9,00:00.0
44817,5,00:00.0
44817,9,00:00.0
44818,5,00:00.0
44818,9,00:00.0
44819,5,00:00.0
44819,9,00:00.0
44822,5,00:00.0
44822,9,00:00.0
44823,5,00:00.0
44823,9,00:00.0
44824,5,00:00.0
44824,9,00:00.0
44825,5,00:00.0
44825,9,00:00.0
44826,5,00:00.0
44826,9,00:00.0
44828,5,00:00.0
44828,9,00:00.0
44830,5,00:00.0
44830,9,00:00.0
44832,5,00:00.0
44832,9,00:00.0
44833,5,00:00.0
44833,9,00:00.0
44835,5,00:00.0
44835,9,00:00.0
44836,5,00:00.0
44836,9,00:00.0
44837,5,00:00.0
44837,9,00:00.0
44838,5,00:00.0
44838,9,00:00.0
44839,5,00:00.0
44839,9,00:00.0
44840,5,00:00.0
44840,9,00:00.0
44841,5,00:00.0
44841,9,00:00.0
44842,5,00:00.0
44842,9,00:00.0
44843,5,00:00.0
44843,9,00:00.0
44844,5,00:00.0
44844,9,00:00.0
44845,5,00:00.0
44845,9,00:00.0
44846,5,00:00.0
44846,9,00:00.0
44851,5,00:00.0
44851,9,00:00.0
44852,5,00:00.0
44852,9,00:00.0
44854,5,00:00.0
44854,9,00:00.0
44857,5,00:00.0
44857,9,00:00.0
44858,5,00:00.0
44858,9,00:00.0
44859,5,00:00.0
44859,9,00:00.0
44860,5,00:00.0
44860,9,00:00.0
44861,5,00:00.0
44861,9,00:00.0
44862,5,00:00.0
44862,9,00:00.0
44863,5,00:00.0
44863,9,00:00.0
44867,5,00:00.0
44867,9,00:00.0
44868,5,00:00.0
44868,9,00:00.0
44869,5,00:00.0
44869,9,00:00.0
44870,5,00:00.0
44870,9,00:00.0
44872,5,00:00.0
44872,9,00:00.0
44873,5,00:00.0
44873,9,00:00.0
44875,5,00:00.0
44875,9,00:00.0
44876,5,00:00.0
44876,9,00:00.0
44877,5,00:00.0
44877,9,00:00.0
44878,5,00:00.0
44878,9,00:00.0
44879,5,00:00.0
44879,9,00:00.0
44880,5,00:00.0
44880,9,00:00.0
44881,5,00:00.0
44881,9,00:00.0
44882,5,00:00.0
44882,9,00:00.0
44883,5,00:00.0
44883,9,00:00.0
44884,5,00:00.0
44884,9,00:00.0
44885,5,00:00.0
44885,9,00:00.0
44886,5,00:00.0
44886,9,00:00.0
44887,5,00:00.0
44887,9,00:00.0
44888,5,00:00.0
44888,9,00:00.0
44891,5,00:00.0
44891,9,00:00.0
44892,5,00:00.0
44892,9,00:00.0
44893,5,00:00.0
44893,9,00:00.0
44897,5,00:00.0
44897,9,00:00.0
44898,5,00:00.0
44898,9,00:00.0
44900,5,00:00.0
44900,9,00:00.0
44901,5,00:00.0
44901,9,00:00.0
44902,5,00:00.0
44902,9,00:00.0
44903,5,00:00.0
44903,9,00:00.0
44905,5,00:00.0
44905,9,00:00.0
44906,5,00:00.0
44906,9,00:00.0
