CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
117,00:00.0,USD,VEB,636.75,636.84,00:00.0
118,00:00.0,USD,ARS,1,0.9998,00:00.0
119,00:00.0,USD,AUD,1.581,1.581,00:00.0
120,00:00.0,USD,BRL,1.929,1.9199,00:00.0
121,00:00.0,USD,CAD,1.4678,1.4588,00:00.0
122,00:00.0,USD,CNY,8.2783,8.2779,00:00.0
123,00:00.0,USD,DEM,1.9117,1.9109,00:00.0
124,00:00.0,USD,EUR,0.9774,0.977,00:00.0
125,00:00.0,USD,FRF,6.4115,6.4109,00:00.0
126,00:00.0,USD,GBP,0.6191,0.6189,00:00.0
127,00:00.0,USD,JPY,104.56,104.548,00:00.0
128,00:00.0,USD,MXN,9.307,9.2989,00:00.0
129,00:00.0,USD,SAR,3.7507,3.7502,00:00.0
130,00:00.0,USD,VEB,637.25,637.1699,00:00.0
131,00:00.0,USD,ARS,1,1.0004,00:00.0
132,00:00.0,USD,AUD,1.5768,1.5772,00:00.0
133,00:00.0,USD,BRL,1.9299,1.931,00:00.0
134,00:00.0,USD,CAD,1.4679,1.4738,00:00.0
135,00:00.0,USD,CNY,8.237,8.2379,00:00.0
136,00:00.0,USD,DEM,1.9192,1.9194,00:00.0
137,00:00.0,USD,EUR,0.9812,0.9812,00:00.0
138,00:00.0,USD,FRF,6.4366,6.4366,00:00.0
139,00:00.0,USD,GBP,0.6202,0.621,00:00.0
140,00:00.0,USD,JPY,104.41,104.459,00:00.0
141,00:00.0,USD,MXN,9.31,9.3109,00:00.0
142,00:00.0,USD,SAR,3.7507,3.7597,00:00.0
143,00:00.0,USD,VEB,637.5,637.57,00:00.0
144,00:00.0,USD,ARS,1,0.9991,00:00.0
145,00:00.0,USD,AUD,1.5701,1.5694,00:00.0
146,00:00.0,USD,BRL,1.9265,1.9219,00:00.0
147,00:00.0,USD,CAD,1.4672,1.4662,00:00.0
148,00:00.0,USD,CNY,8.237,8.2369,00:00.0
149,00:00.0,USD,DEM,1.9292,1.9287,00:00.0
150,00:00.0,USD,EUR,0.9864,0.9859,00:00.0
151,00:00.0,USD,FRF,6.4702,6.4695,00:00.0
152,00:00.0,USD,GBP,0.6208,0.62,00:00.0
153,00:00.0,USD,JPY,103.99,103.909,00:00.0
154,00:00.0,USD,MXN,9.3599,9.352,00:00.0
155,00:00.0,USD,SAR,3.7505,3.7492,00:00.0
156,00:00.0,USD,VEB,637.75,637.75,00:00.0
157,00:00.0,USD,ARS,1,1.0004,00:00.0
158,00:00.0,USD,AUD,1.5686,1.5687,00:00.0
159,00:00.0,USD,BRL,1.9239,1.927,00:00.0
160,00:00.0,USD,CAD,1.4678,1.4714,00:00.0
161,00:00.0,USD,CNY,8.237,8.2373,00:00.0
162,00:00.0,USD,DEM,1.9231,1.9236,00:00.0
163,00:00.0,USD,EUR,0.9832,0.9834,00:00.0
164,00:00.0,USD,FRF,6.4499,6.4505,00:00.0
165,00:00.0,USD,GBP,0.6231,0.6232,00:00.0
166,00:00.0,USD,JPY,101.85,101.923,00:00.0
167,00:00.0,USD,MXN,9.3599,9.3599,00:00.0
168,00:00.0,USD,SAR,3.7507,3.7524,00:00.0
169,00:00.0,USD,VEB,638.5,638.58,00:00.0
170,00:00.0,USD,ARS,1,0.9992,00:00.0
171,00:00.0,USD,AUD,1.5769,1.5767,00:00.0
172,00:00.0,USD,BRL,1.9239,1.9179,00:00.0
173,00:00.0,USD,CAD,1.4683,1.4644,00:00.0
174,00:00.0,USD,CNY,8.237,8.2367,00:00.0
175,00:00.0,USD,DEM,1.9265,1.9262,00:00.0
176,00:00.0,USD,EUR,0.9849,0.9844,00:00.0
177,00:00.0,USD,FRF,6.4614,6.4607,00:00.0
178,00:00.0,USD,GBP,0.6229,0.6227,00:00.0
179,00:00.0,USD,JPY,102.55,102.4929,00:00.0
180,00:00.0,USD,MXN,9.3599,9.358,00:00.0
181,00:00.0,USD,SAR,3.7507,3.7448,00:00.0
182,00:00.0,USD,VEB,638.5,638.4199,00:00.0
183,00:00.0,USD,ARS,1,1.0007,00:00.0
184,00:00.0,USD,AUD,1.5708,1.5708,00:00.0
185,00:00.0,USD,BRL,1.9239,1.925,00:00.0
186,00:00.0,USD,CAD,1.4724,1.4738,00:00.0
187,00:00.0,USD,CNY,8.237,8.2375,00:00.0
188,00:00.0,USD,DEM,1.9345,1.9353,00:00.0
189,00:00.0,USD,EUR,0.989,0.9897,00:00.0
190,00:00.0,USD,FRF,6.4882,6.4886,00:00.0
191,00:00.0,USD,GBP,0.6238,0.6243,00:00.0
192,00:00.0,USD,JPY,102.33,102.394,00:00.0
193,00:00.0,USD,MXN,9.3499,9.351,00:00.0
194,00:00.0,USD,SAR,3.7505,3.7595,00:00.0
195,00:00.0,USD,VEB,638.5,638.5299,00:00.0
196,00:00.0,USD,ARS,1,0.999,00:00.0
197,00:00.0,USD,AUD,1.5741,1.5739,00:00.0
198,00:00.0,USD,BRL,1.9239,1.9139,00:00.0
199,00:00.0,USD,CAD,1.4742,1.4723,00:00.0
200,00:00.0,USD,CNY,8.237,8.2367,00:00.0
201,00:00.0,USD,DEM,1.9393,1.9391,00:00.0
202,00:00.0,USD,EUR,0.9916,0.9907,00:00.0
203,00:00.0,USD,FRF,6.5042,6.5038,00:00.0
204,00:00.0,USD,GBP,0.6256,0.6247,00:00.0
205,00:00.0,USD,JPY,102.09,102.055,00:00.0
206,00:00.0,USD,MXN,9.3499,9.343,00:00.0
207,00:00.0,USD,SAR,3.7505,3.7496,00:00.0
208,00:00.0,USD,VEB,638.5,638.5,00:00.0
209,00:00.0,USD,ARS,1,1.0007,00:00.0
210,00:00.0,USD,AUD,1.5706,1.5712,00:00.0
211,00:00.0,USD,BRL,1.9239,1.933,00:00.0
212,00:00.0,USD,CAD,1.4744,1.4755,00:00.0
213,00:00.0,USD,CNY,8.237,8.2372,00:00.0
214,00:00.0,USD,DEM,1.9378,1.9379,00:00.0
215,00:00.0,USD,EUR,0.9908,0.9911,00:00.0
216,00:00.0,USD,FRF,6.4991,6.4999,00:00.0
217,00:00.0,USD,GBP,0.6252,0.6256,00:00.0
218,00:00.0,USD,JPY,102.34,102.406,00:00.0
219,00:00.0,USD,MXN,9.3499,9.3499,00:00.0
220,00:00.0,USD,SAR,3.7505,3.7545,00:00.0
221,00:00.0,USD,VEB,638.5,638.5499,00:00.0
222,00:00.0,USD,ARS,1,0.9991,00:00.0
223,00:00.0,USD,AUD,1.5792,1.5786,00:00.0
224,00:00.0,USD,BRL,1.9239,1.9219,00:00.0
225,00:00.0,USD,CAD,1.48,1.4702,00:00.0
226,00:00.0,USD,CNY,8.237,8.237,00:00.0
227,00:00.0,USD,DEM,1.9443,1.9441,00:00.0
228,00:00.0,USD,EUR,0.994,0.9939,00:00.0
229,00:00.0,USD,FRF,6.521,6.5208,00:00.0
230,00:00.0,USD,GBP,0.6254,0.6248,00:00.0
231,00:00.0,USD,JPY,102.57,102.542,00:00.0
232,00:00.0,USD,MXN,9.3499,9.348,00:00.0
233,00:00.0,USD,SAR,3.7505,3.7442,00:00.0
234,00:00.0,USD,VEB,638.5,638.48,00:00.0
235,00:00.0,USD,ARS,1,1.0001,00:00.0
236,00:00.0,USD,AUD,1.5823,1.5831,00:00.0
237,00:00.0,USD,BRL,1.9239,1.933,00:00.0
238,00:00.0,USD,CAD,1.4802,1.4861,00:00.0
239,00:00.0,USD,CNY,8.237,8.2378,00:00.0
240,00:00.0,USD,DEM,1.9531,1.9531,00:00.0
241,00:00.0,USD,EUR,0.9986,0.999,00:00.0
242,00:00.0,USD,FRF,6.5503,6.5511,00:00.0
243,00:00.0,USD,GBP,0.6248,0.6254,00:00.0
244,00:00.0,USD,JPY,102.47,102.477,00:00.0
245,00:00.0,USD,MXN,9.3499,9.358,00:00.0
246,00:00.0,USD,SAR,3.7505,3.7578,00:00.0
247,00:00.0,USD,VEB,638.5,638.5099,00:00.0
248,00:00.0,USD,ARS,1,0.9993,00:00.0
249,00:00.0,USD,AUD,1.5825,1.5822,00:00.0
250,00:00.0,USD,BRL,1.9239,1.9179,00:00.0
251,00:00.0,USD,CAD,1.4823,1.4817,00:00.0
252,00:00.0,USD,CNY,8.237,8.2367,00:00.0
253,00:00.0,USD,DEM,1.9519,1.9516,00:00.0
254,00:00.0,USD,EUR,0.998,0.9973,00:00.0
255,00:00.0,USD,FRF,6.5465,6.5456,00:00.0
256,00:00.0,USD,GBP,0.6248,0.6245,00:00.0
257,00:00.0,USD,JPY,102.85,102.784,00:00.0
258,00:00.0,USD,MXN,9.3499,9.345,00:00.0
259,00:00.0,USD,SAR,3.7505,3.7482,00:00.0
260,00:00.0,USD,VEB,638.5,638.4299,00:00.0
261,00:00.0,USD,ARS,1,1.0004,00:00.0
262,00:00.0,USD,AUD,1.5808,1.5817,00:00.0
263,00:00.0,USD,BRL,1.9239,1.9279,00:00.0
264,00:00.0,USD,CAD,1.4795,1.4872,00:00.0
265,00:00.0,USD,CNY,8.237,8.237,00:00.0
266,00:00.0,USD,DEM,1.951,1.9511,00:00.0
267,00:00.0,USD,EUR,0.9975,0.9977,00:00.0
268,00:00.0,USD,FRF,6.5431,6.5434,00:00.0
269,00:00.0,USD,GBP,0.6245,0.6251,00:00.0
270,00:00.0,USD,JPY,102.705,102.803,00:00.0
271,00:00.0,USD,MXN,9.3499,9.352,00:00.0
272,00:00.0,USD,SAR,3.7505,3.753,00:00.0
273,00:00.0,USD,VEB,638.5,638.5499,00:00.0
274,00:00.0,USD,ARS,1,0.9995,00:00.0
275,00:00.0,USD,AUD,1.58,1.579,00:00.0
276,00:00.0,USD,BRL,1.9239,1.9179,00:00.0
277,00:00.0,USD,CAD,1.4799,1.4701,00:00.0
278,00:00.0,USD,CNY,8.237,8.237,00:00.0
279,00:00.0,USD,DEM,1.9271,1.9266,00:00.0
280,00:00.0,USD,EUR,0.9852,0.9848,00:00.0
281,00:00.0,USD,FRF,6.4633,6.4631,00:00.0
282,00:00.0,USD,GBP,0.6211,0.6201,00:00.0
283,00:00.0,USD,JPY,102.43,102.398,00:00.0
284,00:00.0,USD,MXN,9.3499,9.3439,00:00.0
285,00:00.0,USD,SAR,3.7505,3.7503,00:00.0
286,00:00.0,USD,VEB,638.5,638.46,00:00.0
287,00:00.0,USD,ARS,1,1.0004,00:00.0
288,00:00.0,USD,AUD,1.5736,1.5739,00:00.0
289,00:00.0,USD,BRL,1.9239,1.927,00:00.0
290,00:00.0,USD,CAD,1.475,1.4793,00:00.0
291,00:00.0,USD,CNY,8.237,8.2373,00:00.0
292,00:00.0,USD,DEM,1.9128,1.9135,00:00.0
293,00:00.0,USD,EUR,0.9779,0.9782,00:00.0
294,00:00.0,USD,FRF,6.4151,6.4154,00:00.0
295,00:00.0,USD,GBP,0.6159,0.6163,00:00.0
296,00:00.0,USD,JPY,102.8,102.849,00:00.0
297,00:00.0,USD,MXN,9.4649,9.4749,00:00.0
298,00:00.0,USD,SAR,3.7505,3.758,00:00.0
299,00:00.0,USD,VEB,638.5,638.57,00:00.0
300,00:00.0,USD,ARS,1,0.999,00:00.0
301,00:00.0,USD,AUD,1.5686,1.5685,00:00.0
302,00:00.0,USD,BRL,1.866,1.865,00:00.0
303,00:00.0,USD,CAD,1.4785,1.4717,00:00.0
304,00:00.0,USD,CNY,8.237,8.2368,00:00.0
305,00:00.0,USD,DEM,1.9085,1.9079,00:00.0
306,00:00.0,USD,EUR,0.9758,0.9754,00:00.0
307,00:00.0,USD,FRF,6.4008,6.4002,00:00.0
308,00:00.0,USD,GBP,0.6149,0.614,00:00.0
309,00:00.0,USD,JPY,102.815,102.77,00:00.0
310,00:00.0,USD,MXN,9.4619,9.461,00:00.0
311,00:00.0,USD,SAR,3.7507,3.7458,00:00.0
312,00:00.0,USD,VEB,642.0099,642,00:00.0
313,00:00.0,USD,ARS,1,1,00:00.0
314,00:00.0,USD,AUD,1.5649,1.5653,00:00.0
315,00:00.0,USD,BRL,1.868,1.87,00:00.0
316,00:00.0,USD,CAD,1.4757,1.4832,00:00.0
317,00:00.0,USD,CNY,8.237,8.2377,00:00.0
318,00:00.0,USD,DEM,1.915,1.9153,00:00.0
319,00:00.0,USD,EUR,0.979,0.9795,00:00.0
320,00:00.0,USD,FRF,6.4227,6.423,00:00.0
321,00:00.0,USD,GBP,0.6156,0.6158,00:00.0
322,00:00.0,USD,JPY,102.96,103.044,00:00.0
323,00:00.0,USD,MXN,9.435,9.442,00:00.0
324,00:00.0,USD,SAR,3.7507,3.7597,00:00.0
325,00:00.0,USD,VEB,642.5,642.58,00:00.0
326,00:00.0,USD,ARS,0.9996,0.9989,00:00.0
327,00:00.0,USD,AUD,1.5752,1.5745,00:00.0
328,00:00.0,USD,BRL,1.866,1.861,00:00.0
329,00:00.0,USD,CAD,1.4779,1.4725,00:00.0
330,00:00.0,USD,CNY,8.237,8.237,00:00.0
331,00:00.0,USD,DEM,1.9271,1.9265,00:00.0
332,00:00.0,USD,EUR,0.9852,0.9847,00:00.0
333,00:00.0,USD,FRF,6.4633,6.4631,00:00.0
334,00:00.0,USD,GBP,0.6161,0.6159,00:00.0
335,00:00.0,USD,JPY,102.42,102.408,00:00.0
336,00:00.0,USD,MXN,9.4124,9.4079,00:00.0
337,00:00.0,USD,SAR,3.7505,3.7412,00:00.0
338,00:00.0,USD,VEB,642.75,642.73,00:00.0
339,00:00.0,USD,ARS,0.9996,0.9997,00:00.0
340,00:00.0,USD,AUD,1.5768,1.577,00:00.0
341,00:00.0,USD,BRL,1.864,1.869,00:00.0
342,00:00.0,USD,CAD,1.479,1.4806,00:00.0
343,00:00.0,USD,CNY,8.237,8.2376,00:00.0
344,00:00.0,USD,DEM,1.9301,1.9311,00:00.0
345,00:00.0,USD,EUR,0.9869,0.9869,00:00.0
346,00:00.0,USD,FRF,6.4734,6.4736,00:00.0
347,00:00.0,USD,GBP,0.6166,0.6169,00:00.0
348,00:00.0,USD,JPY,102.35,102.449,00:00.0
349,00:00.0,USD,MXN,9.39,9.394,00:00.0
350,00:00.0,USD,SAR,3.7507,3.7538,00:00.0
351,00:00.0,USD,VEB,642.5,642.5399,00:00.0
352,00:00.0,USD,ARS,0.9996,0.9993,00:00.0
353,00:00.0,USD,AUD,1.5743,1.574,00:00.0
354,00:00.0,USD,BRL,1.864,1.856,00:00.0
355,00:00.0,USD,CAD,1.4774,1.477,00:00.0
356,00:00.0,USD,CNY,8.237,8.237,00:00.0
357,00:00.0,USD,DEM,1.9305,1.9298,00:00.0
358,00:00.0,USD,EUR,0.987,0.9864,00:00.0
359,00:00.0,USD,FRF,6.4748,6.4743,00:00.0
360,00:00.0,USD,GBP,0.6168,0.6159,00:00.0
361,00:00.0,USD,JPY,102.42,102.409,00:00.0
362,00:00.0,USD,MXN,9.39,9.38,00:00.0
363,00:00.0,USD,SAR,3.7507,3.744,00:00.0
364,00:00.0,USD,VEB,642.5,642.5,00:00.0
365,00:00.0,USD,ARS,0.9996,1.0002,00:00.0
366,00:00.0,USD,AUD,1.5743,1.5748,00:00.0
367,00:00.0,USD,BRL,1.857,1.86,00:00.0
368,00:00.0,USD,CAD,1.4792,1.4835,00:00.0
369,00:00.0,USD,CNY,8.237,8.2376,00:00.0
370,00:00.0,USD,DEM,1.9317,1.9319,00:00.0
371,00:00.0,USD,EUR,0.9877,0.9885,00:00.0
372,00:00.0,USD,FRF,6.4786,6.4791,00:00.0
373,00:00.0,USD,GBP,0.616,0.6162,00:00.0
374,00:00.0,USD,JPY,102.68,102.768,00:00.0
375,00:00.0,USD,MXN,9.4169,9.425,00:00.0
376,00:00.0,USD,SAR,3.7507,3.753,00:00.0
377,00:00.0,USD,VEB,643,643.0099,00:00.0
378,00:00.0,USD,ARS,0.9996,0.999,00:00.0
379,00:00.0,USD,AUD,1.5741,1.5738,00:00.0
380,00:00.0,USD,BRL,1.848,1.841,00:00.0
381,00:00.0,USD,CAD,1.4812,1.4774,00:00.0
382,00:00.0,USD,CNY,8.2794,8.2789,00:00.0
383,00:00.0,USD,DEM,1.9441,1.9437,00:00.0
384,00:00.0,USD,EUR,0.9939,0.9936,00:00.0
385,00:00.0,USD,FRF,6.5204,6.5199,00:00.0
386,00:00.0,USD,GBP,0.619,0.6189,00:00.0
387,00:00.0,USD,JPY,103.36,103.298,00:00.0
388,00:00.0,USD,MXN,9.4139,9.406,00:00.0
389,00:00.0,USD,SAR,3.7507,3.7458,00:00.0
390,00:00.0,USD,VEB,643.8999,643.7999,00:00.0
391,00:00.0,USD,ARS,0.9996,1.0001,00:00.0
392,00:00.0,USD,AUD,1.5748,1.5749,00:00.0
393,00:00.0,USD,BRL,1.852,1.858,00:00.0
394,00:00.0,USD,CAD,1.4842,1.4857,00:00.0
395,00:00.0,USD,CNY,8.2794,8.2799,00:00.0
396,00:00.0,USD,DEM,1.949,1.9494,00:00.0
397,00:00.0,USD,EUR,0.9965,0.9967,00:00.0
398,00:00.0,USD,FRF,6.5366,6.5368,00:00.0
399,00:00.0,USD,GBP,0.6226,0.6227,00:00.0
400,00:00.0,USD,JPY,103.58,103.631,00:00.0
401,00:00.0,USD,MXN,9.3819,9.3889,00:00.0
402,00:00.0,USD,SAR,3.7507,3.7534,00:00.0
403,00:00.0,USD,VEB,644,644.0299,00:00.0
404,00:00.0,USD,ARS,0.9996,0.9989,00:00.0
405,00:00.0,USD,AUD,1.5601,1.5593,00:00.0
406,00:00.0,USD,BRL,1.8425,1.837,00:00.0
407,00:00.0,USD,CAD,1.4782,1.4773,00:00.0
408,00:00.0,USD,CNY,8.2794,8.2788,00:00.0
409,00:00.0,USD,DEM,1.928,1.9271,00:00.0
410,00:00.0,USD,EUR,0.9858,0.9854,00:00.0
411,00:00.0,USD,FRF,6.4664,6.4661,00:00.0
412,00:00.0,USD,GBP,0.6198,0.6189,00:00.0
413,00:00.0,USD,JPY,103,102.995,00:00.0
414,00:00.0,USD,MXN,9.365,9.3559,00:00.0
415,00:00.0,USD,SAR,3.7505,3.7467,00:00.0
416,00:00.0,USD,VEB,644,643.9299,00:00.0
417,00:00.0,USD,ARS,0.9996,1.0004,00:00.0
418,00:00.0,USD,AUD,1.5564,1.5568,00:00.0
419,00:00.0,USD,BRL,1.8169,1.822,00:00.0
420,00:00.0,USD,CAD,1.4778,1.48,00:00.0
421,00:00.0,USD,CNY,8.2794,8.2796,00:00.0
422,00:00.0,USD,DEM,1.9145,1.9147,00:00.0
423,00:00.0,USD,EUR,0.9788,0.9797,00:00.0
424,00:00.0,USD,FRF,6.4208,6.4211,00:00.0
425,00:00.0,USD,GBP,0.6205,0.621,00:00.0
426,00:00.0,USD,JPY,103.1,103.119,00:00.0
427,00:00.0,USD,MXN,9.3399,9.343,00:00.0
428,00:00.0,USD,SAR,3.7505,3.7605,00:00.0
429,00:00.0,USD,VEB,644.25,644.33,00:00.0
430,00:00.0,USD,ARS,0.9996,0.999,00:00.0
431,00:00.0,USD,AUD,1.5564,1.5557,00:00.0
432,00:00.0,USD,BRL,1.8109,1.804,00:00.0
433,00:00.0,USD,CAD,1.4755,1.4711,00:00.0
434,00:00.0,USD,CNY,8.2794,8.2786,00:00.0
435,00:00.0,USD,DEM,1.9413,1.9403,00:00.0
436,00:00.0,USD,EUR,0.9926,0.9918,00:00.0
437,00:00.0,USD,FRF,6.5106,6.5098,00:00.0
438,00:00.0,USD,GBP,0.6231,0.6226,00:00.0
439,00:00.0,USD,JPY,103.28,103.262,00:00.0
440,00:00.0,USD,MXN,9.3399,9.3379,00:00.0
441,00:00.0,USD,SAR,3.7507,3.7486,00:00.0
442,00:00.0,USD,VEB,644.05,644,00:00.0
443,00:00.0,USD,ARS,0.9996,0.9997,00:00.0
444,00:00.0,USD,AUD,1.5564,1.557,00:00.0
445,00:00.0,USD,BRL,1.8109,1.82,00:00.0
446,00:00.0,USD,CAD,1.4777,1.4859,00:00.0
447,00:00.0,USD,CNY,8.2794,8.2797,00:00.0
448,00:00.0,USD,DEM,1.94,1.9403,00:00.0
449,00:00.0,USD,EUR,0.9919,0.9925,00:00.0
450,00:00.0,USD,FRF,6.5068,6.5072,00:00.0
451,00:00.0,USD,GBP,0.6228,0.623,00:00.0
452,00:00.0,USD,JPY,103.17,103.179,00:00.0
453,00:00.0,USD,MXN,9.3399,9.348,00:00.0
454,00:00.0,USD,SAR,3.7507,3.7551,00:00.0
455,00:00.0,USD,VEB,644.05,644.0599,00:00.0
456,00:00.0,USD,ARS,0.9996,0.9991,00:00.0
457,00:00.0,USD,AUD,1.5579,1.5573,00:00.0
458,00:00.0,USD,BRL,1.8109,1.8009,00:00.0
459,00:00.0,USD,CAD,1.4801,1.4726,00:00.0
